INFO 2024-07-26 12:40:45,516 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/fields/generated.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/_collections_abc.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/asyncio/trsock.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/environ/environ.py first seen with mtime 1721992980.397795
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/indexes.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1721904967.5484066
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/sqlparse/engine/__init__.py first seen with mtime 1721904967.3684006
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/email/policy.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/cache/__init__.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1721904967.9804213
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/views/__init__.py first seen with mtime 1721904967.9964218
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/email/_encoded_words.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1721904967.8324163
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/reprlib.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/files/base.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/asyncio/constants.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/__init__.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/lib-dynload/_queue.cpython-310-x86_64-linux-gnu.so first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/sql/where.py first seen with mtime 1721904967.9684207
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/checks/__init__.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/concurrent/futures/_base.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/translation/trans_real.py first seen with mtime 1721904967.9964218
DEBUG 2024-07-26 12:40:45,666 autoreload File /usr/lib/python3.10/email/base64mime.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/asgiref/sync.py first seen with mtime 1721904967.3964016
DEBUG 2024-07-26 12:40:45,666 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/ipv6.py first seen with mtime 1721904967.9924216
